Subfamily;Tribe;Genus;Species;FWL;FWW;HWL;HWW;TL;TW;AL;AW;BL;FA;AR;FHR;WTR;Obs;Source;Subspecies
Satyrinae;Satyrini;Caeruleuptychia;Caeruleuptychia_helena;NA;NA;NA;NA;NA;NA;NA;NA;NA;#VALOR!;#VALOR!;#VALOR!;#VALOR!;;;
Satyrinae;Satyrini;Capronnieria;Capronnieria_abretia;NA;NA;NA;NA;NA;NA;NA;NA;NA;#VALOR!;#VALOR!;#VALOR!;#VALOR!;;;
Biblidinae;Callicorini;Callicore;Callicore_sorana;2.85;1.78;2.23;1.9;0.73;0.36;0.83;0.26;1.56;5.073;3.2022;1.278;85.854;;LABOR;
Biblidinae;Callicorini;Diaethria;Diaethria_candrena;2.11;1.29;1.56;1.38;0.61;0.35;0.86;0.15;1.57;2.722;3.2713;1.353;59.58;;LABOR;
Satyrinae;Satyrini;Pseudodebis;Pseudodebis_euptychidia;2.76;1.8;2.44;2;0.55;0.35;0.97;0.1;1.57;4.968;3.0667;1.131;113.063;;LABOR;
Charaxinae;Anaeini;Zaretis;Zaretis_isidora;3.24;2.26;2.32;2.05;0.8;0.34;0.77;0.24;1.57;7.322;2.8673;1.397;113.512;;FMNH;
Charaxinae;Anaeini;Memphis;Memphis_oenomais;3.29;2.68;2.58;2.45;0.75;0.35;0.82;0.31;1.57;8.817;2.4552;1.275;117.813;Fêmea;BoA;
Charaxinae;Anaeini;Memphis;Memphis_moruus;2.955;2.129;2.203;2.074;0.805;0.339;0.68;0.231;1.572;6.291;2.776;1.341;94.389;;;
Charaxinae;Anaeini;Zaretis;Zaretis_strigosus;2.809;2.092;1.935;1.902;0.8;0.36;0.69;0.181;1.579;5.876;2.6855;1.452;76.104;cynosura;Aline_Zeiss;
Biblidinae;Epiphilini;Epiphile;Epiphile_hubneri;2.56;1.5;1.9;1.75;0.63;0.31;0.85;0.12;1.58;3.84;3.4133;1.347;108.247;;LABOR;
Satyrinae;Satyrini;Forsterinaria;Forsterinaria_quantius;2.52;1.75;2.16;1.95;0.5;0.36;0.97;0.12;1.58;4.41;2.88;1.167;98;;LABOR;
Biblidinae;Catonephelini;Myscelia;Myscelia_orsis;2.68;1.67;2.07;1.73;0.71;0.23;0.87;0.1;1.58;4.476;3.2096;1.295;191.23;;LABOR;
Satyrinae;Haeterini;Pierella;Pierella_lamia;3.72;2.09;3.33;2.35;0.57;0.35;1.02;0.26;1.58;7.775;3.5598;1.117;198.187;Sexo não identificado;BoA;
Charaxinae;Anaeini;Zaretis;Zaretis_strigosus;3.729;2.739;2.749;2.665;0.728;0.361;0.785;0.232;1.581;10.214;2.7229;1.356;146.568;;Aline_Zeiss;
Charaxinae;Anaeini;Zaretis;Zaretis_strigosus;3.682;2.643;2.744;2.647;0.732;0.38;0.837;0.314;1.585;9.732;2.7862;1.342;128.259;;Aline_Zeiss;
Biblidinae;Catonephelini;Eunica;Eunica_margarita;2.5;1.53;1.97;1.77;0.62;0.33;0.91;0.13;1.59;3.825;3.268;1.269;92.568;;LABOR;
Satyrinae;Satyrini;Magneuptychia;Magneuptychia_ocypete;2.47;1.55;2.1;1.81;0.43;0.29;1.12;0.08;1.59;3.829;3.1871;1.176;168.706;;LABOR;
Satyrinae;Satyrini;Taygetina;Taygetina_kerea;2.76;1.77;2.3;1.97;0.45;0.29;1.1;0.14;1.59;4.885;3.1186;1.2;201.284;;LABOR;
Satyrinae;Satyrini;Pampasatyrus;Pampasatyrus_glaucope;2.8;1.79;2.43;1.9;0.51;0.26;1.07;0.15;1.59;5.012;3.1285;1.152;227.405;;LABOR;
Satyrinae;Satyrini;Taygetis;Taygetis_tripunctata;3.04;1.87;2.65;2.06;0.56;0.33;1.06;0.12;1.59;5.685;3.2513;1.147;151.541;;LABOR;
Satyrinae;Satyrini;Posttaygetis;Posttaygetis_penelea;3.02;1.94;2.5;2.07;0.5;0.38;1.07;0.18;1.59;5.859;3.1134;1.208;126.321;;LABOR;
Charaxinae;Anaeini;Zaretis;Zaretis_isidora;2.84;2.07;1.94;1.76;0.84;0.29;0.75;0.2;1.59;5.879;2.744;1.464;114.172;Macho;BoA;vulpecula
Satyrinae;Morphini;Morpho;Morpho_aega;4.52;2.84;3.06;2.88;0.7;0.31;0.94;0.25;1.59;12.837;3.1831;1.477;303.707;Macho;BoA;
Biblidinae;Callicorini;Diaethria;Diaethria_clymena;2.27;1.43;1.81;1.49;0.58;0.31;0.96;0.24;1.6;3.246;3.1748;1.254;92.449;;LABOR;
Biblidinae;Catonephelini;Eunica;Eunica_maja;2.65;1.46;1.92;1.64;0.69;0.28;0.83;0.12;1.6;3.869;3.6301;1.38;129.816;;LABOR;
Charaxinae;Anaeini;Memphis;Memphis_hirta;2.5;1.82;1.92;1.8;NA;NA;NA;0.14;1.6;4.55;2.7473;1.302;NA;Sexo não identificado;BoA;
Charaxinae;Anaeini;Memphis;Memphis_moruus;3.19;2.473;2.345;2.23;0.857;0.393;2.012;0.201;1.606;7.889;2.5799;1.36;76.88;;;
Satyrinae;Satyrini;Praepedaliodes;Praepedaliodes_phanias;2.79;1.81;2.34;2.04;0.52;0.32;0.98;0.11;1.61;5.05;3.0829;1.192;146.186;;LABOR;
