Subfamily;Tribe;Genus;Species;FWL;FWW;HWL;HWW;TL;TW;AL;AW;BL;FA;AR;FHR;WTR;Obs;Source;Subspecies
Satyrinae;Satyrini;Caeruleuptychia;Caeruleuptychia_helena;NA;NA;NA;NA;NA;NA;NA;NA;NA;#VALOR!;#VALOR!;#VALOR!;#VALOR!;;;
Satyrinae;Satyrini;Capronnieria;Capronnieria_abretia;NA;NA;NA;NA;NA;NA;NA;NA;NA;#VALOR!;#VALOR!;#VALOR!;#VALOR!;;;
Satyrinae;Satyrini;Amphidecta;Amphidecta_pignerator;3.82;2.2;3.21;2.45;0.82;0.54;1.45;0.17;2.35;8.404;3.4727;1.19;61.027;;LABOR;
Charaxinae;Preponini;Prepona;Prepona_claudina;3.96;2.64;2.62;2.62;1.23;0.5;1.13;0.37;2.35;10.454;3;1.511;50.997;Macho;BoA;croesus
Satyrinae;Brassolini;Opoptera;Opoptera_syme;4.01;2.73;3.86;3.19;0.76;0.5;1.56;0.2;2.35;10.947;2.9377;1.039;84.632;;LABOR;
Satyrinae;Morphini;Morpho;Morpho_helenor;6.1;4.06;5.08;4.52;NA;NA;NA;NA;2.35;24.766;3.0049;1.201;NA;Macho;BoA;violaceus
Satyrinae;Morphini;Morpho;Morpho_helenor;6.69;4.4;5.36;4.84;NA;NA;NA;NA;2.35;29.436;3.0409;1.248;NA;Sexo não identificado;BoA;coelestis
Charaxinae;Anaeini;Siderone;Siderone_galanthis;3.99;2.79;2.77;2.79;1.22;0.41;1.15;0.4;2.36;11.132;2.8602;1.44;77.628;Fêmea;BoA;
Charaxinae;Preponini;Prepona;Prepona_amydon;3.45;2.45;2.35;2.33;1.38;0.43;1;0.35;2.37;8.453;2.8163;1.468;46.647;Macho;BoA;phalcidon
Satyrinae;Satyrini;Taygetis;Taygetis_acuta;4.04;2.66;3.48;3;0.76;0.46;1.55;0.23;2.38;10.746;3.0376;1.161;101.492;;LABOR;
Satyrinae;Brassolini;Opoptera;Opoptera_syme;4.03;2.84;3.79;3.18;0.86;0.53;1.51;0.25;2.38;11.445;2.838;1.063;67.23;;LABOR;
Charaxinae;Preponini;Archaeoprepona;Archaeoprepona_demophoon;5.124;2.907;3.524;3.194;1.189;0.598;1.209;0.347;2.388;14.895;3.5253;1.454;61.75;;Aline_Zeiss;
Satyrinae;Satyrini;Taygetis;Taygetis_laches;3.73;2.55;3.62;2.9;0.75;0.43;1.61;0.19;2.39;9.512;2.9255;1.03;100.327;;LABOR;
Satyrinae;Satyrini;Taygetis;Taygetis_sosis;3.72;2.35;3.17;2.65;0.89;0.47;1.49;0.17;2.41;8.742;3.166;1.174;70.388;;LABOR;
Satyrinae;Brassolini;Opsiphanes;Opsiphanes_invirae;3.74;2.73;2.75;2.51;1.04;0.5;1.36;0.33;2.41;10.21;2.7399;1.36;53.798;;LABOR;
Charaxinae;Preponini;Archaeoprepona;Archaeoprepona_amphimachus;4.512;2.842;3.007;3.036;1.12;0.578;1.15;0.517;2.41;12.823;3.1752;1.5;54.408;;Aline_Zeiss;
Satyrinae;Brassolini;Eryphanis;Eryphanis_automedon;5.61;3.83;4.95;4.49;0.97;0.53;1.41;0.28;2.41;21.486;2.9295;1.133;115.505;;LABOR;
Satyrinae;Morphini;Morpho;Morpho_epistrophus;6.26;3.9;4.93;4.31;NA;NA;NA;NA;2.41;24.414;3.2103;1.27;NA;Sexo não identificado;BoA;catenaria
Satyrinae;Morphini;Morpho;Morpho_helenor;6.63;4.36;5.48;4.76;1;0.53;1.38;0.36;2.41;28.907;3.0413;1.21;156.486;Sexo não identificado;BoA;achillides
Charaxinae;Preponini;Prepona;Prepona_pylene;5.395;3.248;4.068;3.285;1.115;0.552;1.213;0.384;2.412;17.523;3.322;1.326;85.67;;Aline_Zeiss;
Charaxinae;Preponini;Archaeoprepona;Archaeoprepona_demophon;5.255;3.069;3.805;3.27;1.077;0.612;1.427;0.54;2.415;16.128;3.4246;1.381;68.458;;;
Biblidinae;Ageroniini;Hamadryas;Hamadryas_laodamia;3.63;2.35;2.47;2.51;0.92;0.44;1.5;0.27;2.42;8.531;3.0894;1.47;73.981;;LABOR;
Biblidinae;Ageroniini;Hamadryas;Hamadryas_guatemalena;3.78;2.4;2.94;2.72;1.02;0.4;1.41;0.17;2.42;9.072;3.15;1.286;87.551;Macho;BoA;
Satyrinae;Satyrini;Taygetis;Taygetis_acuta;3.93;2.51;3.13;2.78;0.79;0.35;1.58;0.18;2.42;9.864;3.1315;1.256;159.596;;LABOR;
Charaxinae;Preponini;Archaeoprepona;Archaeoprepona_amphimachus;4.25;2.68;2.9;2.77;NA;NA;NA;0.35;2.42;11.39;3.1716;1.466;NA;Sexo não identificado;BoA;pseudomeander
Satyrinae;Satyrini;Taygetis;Taygetis_cleopatra;3.58;2.22;2.99;2.49;0.66;0.36;1.68;0.16;2.43;7.948;3.2252;1.197;149.836;;LABOR;
Satyrinae;Brassolini;Opoptera;Opoptera_sulcius;4.32;2.93;4.03;3.19;0.92;0.43;1.53;0.37;2.43;12.658;2.9488;1.072;109.709;;LABOR;
Satyrinae;Brassolini;Eryphanis;Eryphanis_automedon;5.69;3.9;5.53;4.61;0.99;0.53;1.47;0.34;2.43;22.191;2.9179;1.029;116.423;;LABOR;
Satyrinae;Morphini;Morpho;Morpho_deidamia;6.8;4.44;5.06;4.62;1.19;0.43;1.25;0.4;2.43;30.192;3.0631;1.344;210.152;Macho;BoA;neoptolemus
Satyrinae;Brassolini;Caligo;Caligo_martia;6.214;4.109;5.596;4.569;1.013;0.46;1.385;0.451;2.434;25.533;3.0246;1.11;180.143;;Aline_Zeiss;
Satyrinae;Morphini;Morpho;Morpho_telemachus;7.28;4.47;5.54;4.79;1.03;0.58;1.42;0.69;2.44;32.542;3.2573;1.314;152.957;;BoA;
Charaxinae;Preponini;Prepona;Prepona_dexamenus;3.94;2.5;2.68;2.41;NA;NA;NA;0.27;2.45;9.85;3.152;1.47;NA;Sexo não identificado;BoA;leuctra
Charaxinae;Preponini;Prepona;Prepona_eugenes;4.12;2.43;2.78;2.46;NA;NA;NA;0.26;2.45;10.012;3.3909;1.482;NA;Sexo não identificado;BoA;bahiana
Charaxinae;Preponini;Prepona;Prepona_amydon;3.88;2.72;2.66;2.7;1.19;0.39;1.27;0.23;2.45;10.554;2.8529;1.459;83.174;Macho;BoA;excelsior
Biblidinae;Ageroniini;Hamadryas;Hamadryas_feronia;3.65;2.19;2.74;2.53;1.08;0.53;1.35;0.2;2.46;7.994;3.3333;1.332;43.915;;LABOR;
Charaxinae;Preponini;Prepona;Prepona_claudina;4.31;2.62;2.9;3.06;1.03;0.62;1.43;0.56;2.46;11.292;3.2901;1.486;46.917;Sexo não identificado;BoA;anetta
Charaxinae;Anaeini;Siderone;Siderone_galanthis;3.21;2.38;2.53;1.74;1.12;0.57;1.37;0.4;2.47;7.64;2.6975;1.269;28.317;Macho;BoA;
Charaxinae;Preponini;Prepona;Prepona_amydon;4.31;2.86;3.08;2.95;1.09;0.35;1.4;0.34;2.47;12.327;3.014;1.399;139.121;Fêmea;BoA;rubella
Satyrinae;Brassolini;Blepolenis;Blepolenis_catharinae;4.71;3.35;4.03;3.47;1.15;0.42;1.37;0.38;2.47;15.779;2.8119;1.169;109.357;Macho;BoA;
Satyrinae;Morphini;Morpho;Morpho_hercules;7.24;4.19;5.21;4.53;0.98;0.45;1.49;0.36;2.47;30.336;3.4558;1.39;264.135;Sexo não identificado;BoA;
Biblidinae;Ageroniini;Hamadryas;Hamadryas_laodamia;3.64;2.31;2.45;2.5;1.1;0.45;1.37;0.28;2.48;8.408;3.1515;1.486;59.482;;LABOR;
Charaxinae;Preponini;Prepona;Prepona_claudina;3.93;2.51;2.65;2.67;1.08;0.54;1.38;NA;2.48;9.864;3.1315;1.483;49.043;Sexo não identificado;BoA;anetta
Charaxinae;Preponini;Archaeoprepona;Archaeoprepona_amphimachus;4.25;2.61;3.24;2.94;NA;NA;NA;0.25;2.48;11.093;3.2567;1.312;NA;Sexo não identificado;BoA;pseudomeander
Satyrinae;Morphini;Morpho;Morpho_epistrophus;7.289;4.507;5.886;4.925;0.969;0.552;1.367;0.414;2.484;32.852;3.2345;1.238;179.943;;Aline_Zeiss;
Satyrinae;Brassolini;Opsiphanes;Opsiphanes_cassiae;3.78;2.73;2.79;2.49;1.1;0.54;1.29;0.32;2.49;10.319;2.7692;1.355;44.545;;LABOR;
Charaxinae;Preponini;Prepona;Prepona_eugenes;4.31;2.83;2.88;2.83;NA;NA;NA;0.31;2.49;12.197;3.0459;1.497;NA;Sexo não identificado;BoA;
Charaxinae;Preponini;Prepona;Prepona_claudina;4.33;2.86;3.2;2.77;1.1;0.52;1.39;0.37;2.5;12.384;3.028;1.353;63.034;Sexo não identificado;BoA;anetta
Charaxinae;Preponini;Prepona;Prepona_dexamenus;4.57;2.81;2.94;2.77;NA;NA;NA;0.26;2.5;12.842;3.2527;1.554;NA;Não especificado (macho?);BoA;
Satyrinae;Brassolini;Dasyophthalma;Dasyophthalma_rusina;4.58;3.09;3.87;3.53;0.95;0.64;1.57;0.35;2.5;14.152;2.9644;1.183;53.907;;LABOR;
Charaxinae;Preponini;Archaeoprepona;Archaeoprepona_chalciope;4.693;2.668;3.486;3.055;1.159;0.545;1.195;0.256;2.502;12.521;3.518;1.346;63.977;;Aline_Zeiss;
Biblidinae;Ageroniini;Hamadryas;Hamadryas_fornax;3.73;2.19;2.47;2.39;1;0.48;1.47;0.18;2.51;8.169;3.4064;1.51;60.386;;LABOR;
Satyrinae;Morphini;Morpho;Morpho_epistrophus;6.36;3.56;4.73;;0.9;0.43;1.64;0.49;2.51;22.642;3.573;1.345;243.072;Sexo não identificado;BoA;
Satyrinae;Morphini;Morpho;Morpho_helenor;6.59;4.14;5.23;4.72;0.91;0.39;1.64;0.6;2.51;27.283;3.1836;1.26;313.762;Sexo não identificado;BoA;theodorus
Satyrinae;Satyrini;Taygetis;Taygetis_rufomarginata;4.01;2.58;3.46;2.84;0.67;0.48;1.74;0.14;2.52;10.346;3.1085;1.159;104.167;;LABOR;
Satyrinae;Morphini;Morpho;Morpho_menelaus;7.34;4.42;5.65;4.92;NA;NA;NA;NA;2.52;32.443;3.3213;1.299;NA;Sexo não identificado;BoA;occidentalis
Biblidinae;Ageroniini;Hamadryas;Hamadryas_fornax;3.56;2.18;2.52;2.5;1.18;0.46;1.42;0.17;2.53;7.761;3.2661;1.413;50.758;;LABOR;
Charaxinae;Preponini;Archaeoprepona;Archaeoprepona_chalciope;4.58;2.69;3.34;3.03;NA;NA;NA;0.29;2.53;12.32;3.4052;1.371;NA;Sexo não identificado;BoA;
Satyrinae;Brassolini;Blepolenis;Blepolenis_catharinae;4.4;2.96;3.76;3.11;1.07;0.42;1.56;0.27;2.53;13.024;2.973;1.17;102.571;Não específicado (fêmea?);BoA;
Satyrinae;Satyrini;Taygetis;Taygetis_larua;4.13;2.59;3.76;3.06;0.48;0.8;1.73;0.17;2.54;10.697;3.1892;1.098;55.524;;LABOR;
Satyrinae;Brassolini;Eryphanis;Eryphanis_reevesii;5.43;3.57;5.14;4.13;0.86;0.58;1.57;0.3;2.54;19.385;3.042;1.056;101.917;;LABOR;
Satyrinae;Morphini;Morpho;Morpho_anaxibia;7.58;3.94;5.35;4.14;1.01;0.38;1.55;0.39;2.55;29.865;3.8477;1.417;393.958;Fêmea;BoA;
Satyrinae;Morphini;Morpho;Morpho_hercules;7.7;4.45;5.67;4.9;1.09;0.47;1.52;0.35;2.55;34.265;3.4607;1.358;246.24;Sexo não identificado;BoA;
Charaxinae;Preponini;Prepona;Prepona_dexamenus;4.73;3.02;2.95;2.98;NA;NA;NA;0.3;2.56;14.285;3.1325;1.603;NA;Sexo não identificado;BoA;
Satyrinae;Morphini;Morpho;Morpho_anaxibia;7.3;3.94;5.33;4.45;1.06;NA;1.55;0.42;2.57;28.762;3.7056;1.37;NA;Fêmea;BoA;
Satyrinae;Morphini;Morpho;Morpho_menelaus;7.23;4.59;5.95;4.67;1.16;NA;1.42;0.33;2.58;33.186;3.1503;1.215;NA;Sexo não identificado;BoA;occidentalis
Biblidinae;Ageroniini;Hamadryas;Hamadryas_amphinome;3.56;2.22;2.49;2.41;0.97;0.48;1.6;0.21;2.59;7.903;3.2072;1.43;56.708;;LABOR;
Biblidinae;Ageroniini;Hamadryas;Hamadryas_amphinome;3.98;2.36;2.58;2.62;1.13;0.46;1.4;0.22;2.59;9.393;3.3729;1.543;66.248;;LABOR;
Charaxinae;Preponini;Prepona;Prepona_amydon;3.73;2.53;2.6;2.54;1.22;0.55;1.35;0.3;2.59;9.437;2.9486;1.435;37.699;Sexo não identificado;BoA;ferdinandi
Satyrinae;Morphini;Morpho;Morpho_hercules;7.55;4.42;5.54;4.88;0.99;0.42;1.62;0.36;2.6;33.371;3.4163;1.363;326.407;Sexo não identificado;BoA;
Biblidinae;Ageroniini;Hamadryas;Hamadryas_laodamia;3.72;2.4;2.57;2.67;0.87;0.49;1.61;0.4;2.61;8.928;3.1;1.447;66.248;;LABOR;
Charaxinae;Preponini;Mesoprepona;Mesoprepona_pheridamas;4.4;2.62;2.93;2.81;1.05;0.48;1.55;0.31;2.61;11.528;3.3588;1.502;80.026;;FMNH;
Satyrinae;Brassolini;Catoblepia;Catoblepia_berecynthia;4.58;3.23;4.21;3.41;1;0.53;1.52;0.32;2.61;14.793;2.8359;1.088;74.676;;LABOR;
Satyrinae;Morphini;Morpho;Morpho_menelaus;7.66;4.62;5.83;4.85;0.98;0.46;1.63;0.36;2.61;35.389;3.316;1.314;282.954;Macho;BoA;terrestris
Charaxinae;Preponini;Prepona;Prepona_claudina;4.02;2.59;2.7;2.69;NA;NA;NA;0.25;2.62;10.412;3.1042;1.489;NA;Macho;BoA;croesus
Satyrinae;Brassolini;Eryphanis;Eryphanis_reevesii;4.91;3.33;4.79;4.1;1;0.5;1.54;0.4;2.62;16.35;2.9489;1.025;96.432;;LABOR;
Charaxinae;Preponini;Prepona;Prepona_amydon;3.92;2.6;2.44;2.58;1.21;0.54;1.45;0.36;2.64;10.192;3.0154;1.607;43.551;Sexo não identificado;BoA;ferdinandi
Charaxinae;Preponini;Prepona;Prepona_eugenes;4.45;2.7;3.01;2.63;NA;NA;NA;0.27;2.64;12.015;3.2963;1.478;NA;Não especificado (macho?);BoA;
Charaxinae;Preponini;Prepona;Prepona_claudina;3.66;2.5;2.58;2.64;NA;NA;NA;0.18;2.65;9.15;2.928;1.419;NA;Macho;BoA;croesus
Satyrinae;Brassolini;Dasyophthalma;Dasyophthalma_rusina;4.62;3.08;3.86;3.4;0.95;0.54;1.68;0.39;2.65;14.23;3;1.197;77.05;;LABOR;
Satyrinae;Satyrini;Taygetis;Taygetis_mermeria;4.09;2.73;3.77;3.26;0.74;0.48;1.88;0.22;2.66;11.166;2.9963;1.085;98.114;;LABOR;
Satyrinae;Haeterini;Pierella;Pierella_nereis;6.84;3.51;6.146;4.327;1.067;0.637;1.614;0.528;2.66;24.008;3.8974;1.113;108.061;Sexo não identificado;Yale Museum;
Charaxinae;Preponini;Prepona;Prepona_claudina;4.03;2.6;2.68;2.68;1.18;0.45;1.32;0.26;2.67;10.478;3.1;1.504;67.968;Macho;BoA;godmani
Satyrinae;Satyrini;Taygetis;Taygetis_larua;4.26;2.68;3.86;3.19;0.85;0.45;1.75;0.2;2.67;11.417;3.1791;1.104;105.433;;LABOR;
Charaxinae;Preponini;Prepona;Prepona_claudina;4.26;2.85;2.75;2.84;1.41;0.5;1.3;0.43;2.69;12.141;2.9895;1.549;51.483;Macho;BoA;godmani
Charaxinae;Preponini;Prepona;Prepona_laertes;5.38;3.4;4;3.53;NA;NA;NA;0.34;2.7;18.292;3.1647;1.345;NA;Fêmea;BoA;demodice
Charaxinae;Preponini;Prepona;Prepona_amydon;4.01;2.66;2.55;2.52;1.41;0.39;1.3;0.34;2.71;10.667;3.015;1.573;74.979;Macho;BoA;rubella
Charaxinae;Preponini;Prepona;Prepona_laertes;4.42;2.79;3.14;2.95;1.31;0.51;1.36;0.35;2.71;12.332;3.1685;1.408;57.337;Macho;BoA;demodice
Charaxinae;Preponini;Archaeoprepona;Archaeoprepona_chalciope;4.68;2.79;3.5;3.15;NA;NA;NA;0.31;2.71;13.057;3.3548;1.337;NA;Sexo não identificado;BoA;
Satyrinae;Brassolini;Dasyophthalma;Dasyophthalma_creusa;4.64;3.02;3.81;3.76;1.12;0.66;1.59;0.29;2.71;14.013;3.0728;1.218;44.13;;LABOR;
Satyrinae;Brassolini;Penetes;Penetes_pamphanis;4.7;2.74;3.45;2.82;0.93;NA;1.78;0.27;2.72;12.878;3.4307;1.362;NA;Macho;BoA;
Charaxinae;Preponini;Prepona;Prepona_deiphile;5.35;3.4;4;3.52;1.3;0.52;1.45;0.38;2.72;18.19;3.1471;1.338;81.425;Macho;NMNH;
Satyrinae;Brassolini;Dasyophthalma;Dasyophthalma_creusa;4.82;2.91;4.05;3.64;1.04;0.49;1.58;0.23;2.73;14.026;3.3127;1.19;93.04;;LABOR;
Satyrinae;Brassolini;Caligo;Caligo_martia;5.906;3.986;5.413;4.355;0.98;0.461;1.637;0.391;2.732;23.541;2.9634;1.091;167.478;;Aline_Zeiss;
Charaxinae;Preponini;Prepona;Prepona_claudina;4.33;2.85;3.04;2.88;1.28;0.54;1.45;0.23;2.75;12.341;3.0386;1.424;50.232;Macho;BoA;sardanapalus
Satyrinae;Morphini;Morpho;Morpho_menelaus;7.1;4.3;5.81;4.99;1.2;NA;1.58;0.53;2.75;30.53;3.3023;1.222;NA;Sexo não identificado;BoA;verae
Satyrinae;Satyrini;Taygetis;Taygetis_mermeria;4.44;2.96;3.9;3.46;0.8;0.43;1.95;0.22;2.76;13.142;3;1.138;133.272;;LABOR;
Satyrinae;Morphini;Morpho;Morpho_epistrophus;7.54;4.79;5.52;4.89;0.88;0.49;1.94;0.48;2.76;36.117;3.1482;1.366;269.072;Fêmea;BoA;
Charaxinae;Preponini;Prepona;Prepona_claudina;3.88;2.62;2.64;2.64;1.38;0.54;1.41;0.22;2.78;10.166;2.9618;1.47;37.411;Macho;BoA;sardanapalus
Satyrinae;Brassolini;Caligo;Caligo_arisbe;5.63;3.48;4.9;3.99;1.22;0.65;1.57;0.41;2.78;19.592;3.2356;1.149;61.494;;LABOR;
Satyrinae;Brassolini;Caligo;Caligo_arisbe;6.32;3.99;5.79;4.68;1.34;0.7;1.42;0.36;2.79;25.217;3.1679;1.092;60.832;;LABOR;
Satyrinae;Brassolini;Caligo;Caligo_teucer;6.64;4.32;5.49;5.12;1.44;0.62;1.3;NA;2.79;28.685;3.0741;1.209;79.651;Sexo não identificado;BoA;obidonus
Charaxinae;Preponini;Prepona;Prepona_amydon;3.97;2.73;2.67;2.64;1.46;0.43;1.35;0.36;2.8;10.838;2.9084;1.487;58.384;Macho;BoA;rubella
Satyrinae;Brassolini;Opsiphanes;Opsiphanes_quiteria;3.83;2.94;2.61;2.78;1.39;0.64;1.4;0.4;2.8;11.26;2.6054;1.467;25.765;;LABOR;
Charaxinae;Preponini;Prepona;Prepona_laertes;4.86;2.84;2.92;2.84;NA;NA;NA;0.36;2.83;13.802;3.4225;1.664;NA;Sexo não identificado;BoA;
Satyrinae;Brassolini;Catoblepia;Catoblepia_berecynthia;5.26;3.55;4.55;3.71;1.06;0.65;1.7;0.38;2.83;18.673;2.9634;1.156;61.779;;LABOR;
Charaxinae;Preponini;Archaeoprepona;Archaeoprepona_amphimachus;4.73;3.11;3.37;3.26;NA;NA;NA;0.26;2.85;14.71;3.0418;1.404;NA;Sexo não identificado;BoA;pseudomeander
Charaxinae;Preponini;Prepona;Prepona_claudina;4.35;2.96;2.94;3.11;NA;NA;NA;0.39;2.88;12.876;2.9392;1.48;NA;Macho;BoA;sardanapalus
Biblidinae;Ageroniini;Hamadryas;Hamadryas_arete;3.6;2.43;2.39;2.53;1.07;0.56;1.8;0.17;2.89;8.748;2.963;1.506;38.623;;LABOR;
Charaxinae;Preponini;Archaeoprepona;Archaeoprepona_meander;4.7;2.94;3.21;3.14;NA;NA;NA;0.32;2.9;13.818;3.1973;1.464;NA;Sexo não identificado;BoA;castorina
Charaxinae;Preponini;Archaeoprepona;Archaeoprepona_demophoon;4.99;2.96;3.43;3.21;NA;NA;NA;0.32;2.9;14.77;3.3716;1.455;NA;Sexo não identificado;BoA;
Satyrinae;Brassolini;Dasyophthalma;Dasyophthalma_creusa;4.89;3.15;4.12;3.85;1.09;0.48;1.73;0.27;2.91;15.404;3.1048;1.187;95.216;;LABOR;
Satyrinae;Brassolini;Caligo;Caligo_arisbe;6.19;3.97;5.42;4.67;1.32;0.83;1.56;0.44;2.91;24.574;3.1184;1.142;42.136;;LABOR;
Satyrinae;Brassolini;Blepolenis;Blepolenis_bassus;5.59;3.85;4.81;3.83;1.04;0.54;1.86;0.3;2.93;21.522;2.9039;1.162;103.039;;LABOR;
Satyrinae;Brassolini;Catoblepia;Catoblepia_berecynthia;5.45;3.57;4.75;3.98;1.18;0.6;1.63;0.31;2.94;19.457;3.0532;1.147;69.921;;LABOR;
Satyrinae;Brassolini;Blepolenis;Blepolenis_bassus;5.64;3.79;4.96;3.83;0.94;0.49;2.07;0.29;2.99;21.376;2.9763;1.137;140.941;;LABOR;
Satyrinae;Brassolini;Brassolis;Brassolis_astyra;4.24;2.67;3.1;2.77;1.2;0.58;1.84;0.24;3;11.321;3.176;1.368;44.534;Sexo não identificado;BoA;philocala
Satyrinae;Brassolini;Opsiphanes;Opsiphanes_cassiae;4;2.86;2.94;2.74;1.26;0.57;1.75;0.52;3.03;11.44;2.7972;1.361;39.084;;LABOR;
Satyrinae;Brassolini;Caligo;Caligo_brasiliensis;7.53;5.07;6.73;5.77;1.27;0.63;1.66;0.45;3.03;38.177;2.9704;1.119;112.488;;LABOR;
Nymphalinae;Coeini;Historis;Historis_odius;5.05;3.33;3.48;3.53;1.21;0.62;1.69;0.23;3.04;16.817;3.033;1.451;54.829;Sexo não identificado;BoA;
Satyrinae;Satyrini;Taygetis;Taygetis_mermeria;4.75;2.92;3.88;3.38;1.05;0.52;1.95;0.27;3.05;13.87;3.2534;1.224;79.468;;LABOR;
Satyrinae;Brassolini;Opsiphanes;Opsiphanes_invirae;3.84;2.87;2.87;2.87;1.22;0.63;1.88;0.42;3.08;11.021;2.676;1.338;30.452;;LABOR;
Satyrinae;Brassolini;Brassolis;Brassolis_astyra;4.29;2.58;3.05;2.69;1.24;0.57;1.83;0.34;3.14;11.068;3.3256;1.407;45.682;Macho;BoA;astyra
Satyrinae;Brassolini;Opsiphanes;Opsiphanes_quiteria;4.37;3.33;3.12;3.25;1.44;0.74;1.72;0.57;3.14;14.552;2.6246;1.401;24.218;;LABOR;
Satyrinae;Brassolini;Opsiphanes;Opsiphanes_cassiae;4.1;3.08;2.89;3.04;1.42;0.67;1.67;0.5;3.15;12.628;2.6623;1.419;26.371;;LABOR;
Satyrinae;Brassolini;Opsiphanes;Opsiphanes_quiteria;4.27;3.1;3.12;3.07;1.31;0.68;1.83;0.47;3.15;13.237;2.7548;1.369;30.1;;LABOR;
Satyrinae;Brassolini;Caligo;Caligo_illioneus;7.21;5.18;6.35;5.69;1.42;0.85;1.64;0.69;3.15;37.348;2.7838;1.135;50.669;;LABOR;
Satyrinae;Brassolini;Caligo;Caligo_idomeneus;7.67;4.69;6.68;5.53;NA;NA;NA;NA;3.2;35.972;3.2708;1.148;NA;Sexo não identificado;BoA;ariphron
Satyrinae;Brassolini;Caligo;Caligo_teucer;7.01;4.67;5.77;5.5;1.43;0.7;1.83;NA;3.21;32.737;3.0021;1.215;70.13;Sexo não identificado;BoA;obidonus
Satyrinae;Brassolini;Blepolenis;Blepolenis_batea;5.45;3.94;4.68;3.82;1.26;0.65;1.96;0.44;3.22;21.473;2.7665;1.165;55.795;;LABOR;
Satyrinae;Brassolini;Brassolis;Brassolis_sophorae;4.99;2.95;3.63;3.45;1.5;0.94;1.72;0.5;3.25;14.721;3.3831;1.375;18.787;;LABOR;
Satyrinae;Brassolini;Dynastor;Dynastor_darius;4.41;3.59;4.53;3.42;1.17;0.71;2.07;0.63;3.25;15.832;2.4568;0.974;32.974;Fêmea;BoA;
Satyrinae;Brassolini;Opsiphanes;Opsiphanes_invirae;4.19;3.21;3.11;2.95;1.38;0.69;1.97;0.26;3.26;13.45;2.6106;1.347;26.721;;LABOR;
Satyrinae;Brassolini;Caligo;Caligo_idomeneus;8.04;5.1;6.71;6.2;1.23;0.66;2.06;0.21;3.29;41.004;3.1529;1.198;120.648;Sexo não identificado;BoA;ariphron
Satyrinae;Brassolini;Blepolenis;Blepolenis_batea;5.16;3.7;4.11;3.63;1.46;0.64;1.79;0.38;3.31;19.092;2.7892;1.255;44.523;;LABOR;
Satyrinae;Brassolini;Caligo;Caligo_illioneus;6.22;4.36;5.66;4.88;1.12;0.68;2.21;0.45;3.35;27.119;2.8532;1.099;74.704;;LABOR;
Satyrinae;Brassolini;Caligo;Caligo_illioneus;7.17;4.83;6.25;5.42;1.26;0.85;2.06;0.46;3.35;34.631;2.9689;1.147;56.472;;LABOR;
Satyrinae;Brassolini;Caligo;Caligo_idomeneus;7.42;4.64;6;5.69;1.51;0.72;1.86;0.33;3.37;34.429;3.1983;1.237;70.334;Sexo não identificado;BoA;rhoetus
Charaxinae;Anaeini;Memphis;Memphis_appias;6.09;3.97;4.11;3.82;1.72;0.62;1.67;0.4;3.38;24.177;3.068;1.482;56.095;Macho;NMNH;
Satyrinae;Brassolini;Caligo;Caligo_teucer;7.08;4.76;6.05;5.55;1.53;0.71;1.89;0.32;3.38;33.701;2.9748;1.17;64.992;Sexo não identificado;BoA;obidonus
Satyrinae;Brassolini;Caligo;Caligo_brasiliensis;8.08;5.34;7.41;6.21;1.56;1.03;1.82;0.52;3.38;43.147;3.0262;1.09;39.448;;LABOR;
Satyrinae;Brassolini;Catoblepia;Catoblepia_amphirhoe;6.07;3.94;5.52;4.51;1.27;0.68;2.12;0.5;3.43;23.916;3.0812;1.1;62.742;Macho;BoA;
Satyrinae;Brassolini;Blepolenis;Blepolenis_batea;5.99;4.31;4.89;4.03;1.46;0.75;2.11;0.48;3.59;25.817;2.7796;1.225;43.69;;LABOR;
Satyrinae;Brassolini;Selenophanes;Selenophanes_cassiope;4.72;3.52;4.08;3.45;1.38;0.61;2.14;0.39;3.61;16.614;2.6818;1.157;43.386;;LABOR;
Satyrinae;Brassolini;Caligo;Caligo_beltrao;8.07;5.65;6.91;6.02;1.92;0.77;1.7;0.68;3.64;45.596;2.8566;1.168;57.209;;LABOR;
Satyrinae;Brassolini;Brassolis;Brassolis_sophorae;5.17;3.14;3.72;3.53;1.66;0.98;2.07;0.44;3.75;16.234;3.293;1.39;16.766;;LABOR;
Satyrinae;Brassolini;Selenophanes;Selenophanes_cassiope;5.1;3.57;4.11;3.51;1.67;0.63;2.08;0.31;3.78;18.207;2.8571;1.241;39.241;;LABOR;
Satyrinae;Brassolini;Dynastor;Dynastor_darius;5.13;3.78;4.22;3.95;1.18;0.59;2.69;0.28;3.94;19.391;2.7143;1.216;64.069;Sexo não identificado;BoA;faenius
Satyrinae;Melanitini;Manataria;Manataria_hercyna;8.49;5.468;6.723;5.673;1.94;0.773;2.123;0.658;4.186;46.423;3.1053;1.263;62.181;Sexo não identificado;Yale Museum;
Satyrinae;Brassolini;Dynastor;Dynastor_napoleon;8.37;5.11;5.89;5.12;1.73;0.9;3.38;0.8;5.08;42.771;3.2759;1.421;49.994;Fêmea;BoA;
Satyrinae;Satyrini;Euptychia;Euptychia_mollina;1.58;0.96;1.3;1.07;0.31;0.18;NA;NA;NA;1.517;3.2917;1.215;248.546;Macho;BoA;
